Domestic Release Date,Worldwide Release Date,Year Released (Domestic),Year Released (Worldwide),Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office
29-Nov-85,29-Nov-85,1985,1985,Santa Claus,Sony/TriStar,Adventure,Original Screenplay,Live Action,Fantasy,$0 ,970,"1,585","7,062","$5,647,160 ","$23,717,291 ","$60,849,498 ",$0 ,"$23,717,291 "
4-May-84,4-May-84,1984,1984,Sixteen Candles,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,240","1,245","7,347","$4,461,520 ","$23,686,027 ","$64,220,143 ",$0 ,"$23,686,027 "
29-Mar-85,29-Mar-85,1985,1985,The Care Bears Movie,Samuel Goldwyn Films,Adventure,Based on TV,Hand Animation,Kids Fiction,$0 ,"1,003","1,003","9,102","$3,725,001 ","$22,934,000 ","$58,853,160 ",$0 ,"$22,934,000 "
16-Nov-84,16-Nov-84,1984,1984,Missing in Action,Cannon,Action,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,150","1,209","6,545","$6,101,460 ","$22,812,411 ","$61,851,507 ",$0 ,"$22,812,411 "
13-Jul-84,13-Jul-84,1984,1984,The Last Starfighter,Universal,Comedy,Original Screenplay,Live Action,Science Fiction,$0 ,"1,287","1,287","4,998","$6,011,695 ","$22,200,789 ","$60,193,204 ",$0 ,"$22,200,789 "
14-Sep-84,14-Sep-84,1984,1984,A Soldier's Story,Sony Pictures,Drama,Based on Play,Live Action,Historical Fiction,$0 ,5,581,"5,224","$156,383 ","$22,100,000 ","$59,691,635 ",$0 ,"$22,100,000 "
22-Mar-85,22-Mar-85,1985,1985,Friday the 13th Part V: A New Beginning,Paramount Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$2,200,000 ","1,759","1,759","6,247","$8,032,883 ","$21,930,418 ","$56,277,772 ",$0 ,"$21,930,418 "
9-Nov-84,9-Nov-84,1984,1984,"Oh God, You Devil!",Warner Bros.,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0 ,"1,384","1,384","7,729","$5,560,001 ","$21,538,000 ","$58,396,184 ",$0 ,"$21,538,000 "
22-Jun-84,22-Jun-84,1984,1984,Rhinestone,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,630","1,630","6,815","$5,459,726 ","$21,400,000 ","$58,022,018 ",$0 ,"$21,400,000 "
20-Jul-84,20-Jul-84,1984,1984,Die Unendliche Geschichte,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,"$27,000,000 ",950,950,"4,711","$4,325,823 ","$21,300,000 ","$57,750,886 ","$92,049 ","$21,392,049 "
24-Jul-85,24-Jul-85,1985,1985,The Black Cauldron,Walt Disney,Adventure,Based on Fiction Book/Short Story,Hand Animation,Fantasy,$0 ,"1,276","1,276","5,743","$4,180,110 ","$21,288,692 ","$54,630,976 ",$0 ,"$21,288,692 "
