Domestic Release Date,Worldwide Release Date,Year Released (Domestic),Year Released (Worldwide),Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office
27-Mar-09,27-Mar-09,2009,2009,Monsters vs. Aliens,Paramount Pictures,Adventure,Based on Comic/Graphic Novel,Digital Animation,Kids Fiction,"$175,000,000 ","4,104","4,136","30,726","$59,321,095 ","$198,351,526 ","$240,930,986 ","$183,335,854 ","$381,687,380 "
1-Jul-09,1-Jul-09,2009,2009,Ice Age: Dawn of the Dinosaurs,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$90,000,000 ","4,099","4,102","24,140","$41,690,382 ","$196,573,705 ","$238,771,524 ","$663,128,152 ","$859,701,857 "
21-Nov-08,21-Nov-08,2008,2008,Twilight,Summit Entertainment,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,"$37,000,000 ","3,419","3,649","26,720","$69,637,740 ","$192,769,854 ","$243,728,922 ","$209,510,305 ","$402,280,159 "
7-Nov-08,7-Nov-08,2008,2008,Madagascar: Escape 2 Africa,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$150,000,000 ","4,056","4,065","27,304","$63,106,589 ","$180,174,880 ","$228,435,327 ","$419,505,894 ","$599,680,774 "
1-May-09,1-May-09,2009,2009,X-Men Origins: Wolverine,20th Century Fox,Action,Spin-Off,Live Action,Super Hero,"$150,000,000 ","4,099","4,102","21,995","$85,058,003 ","$179,883,157 ","$218,498,075 ","$194,942,603 ","$374,825,760 "
22-May-09,22-May-09,2009,2009,Night at the Museum: Battle of the Sm…,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,"$150,000,000 ","4,096","4,101","25,963","$54,173,286 ","$177,243,721 ","$215,292,039 ","$224,987,342 ","$402,231,063 "
14-Nov-08,14-Nov-08,2008,2008,Quantum of Solace,Sony Pictures,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$230,000,000 ","3,451","3,501","21,082","$67,528,882 ","$169,368,427 ","$214,757,090 ","$422,323,651 ","$591,692,078 "
13-Nov-09,12-Nov-09,2009,2009,2012,Sony Pictures,Action,Original Screenplay,Live Action,Science Fiction,"$200,000,000 ","3,404","3,444","22,025","$65,237,614 ","$166,112,167 ","$201,610,604 ","$591,565,581 ","$757,677,748 "
19-Jun-09,19-Jun-09,2009,2009,The Proposal,Walt Disney,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","3,056","3,158","27,355","$33,627,598 ","$163,958,031 ","$199,154,357 ","$150,751,686 ","$314,709,717 "
3-Apr-09,3-Apr-09,2009,2009,Fast & Furious,Universal,Action,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$85,000,000 ","3,461","3,674","20,543","$70,950,500 ","$155,064,265 ","$188,351,391 ","$208,000,000 ","$363,064,265 "
14-Mar-08,14-Mar-08,2008,2008,Horton Hears a Who,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Digital Animation,Fantasy,"$85,000,000 ","3,954","3,961","28,853","$45,012,998 ","$154,529,439 ","$196,067,297 ","$144,948,447 ","$299,477,886 "
30-May-08,30-May-08,2008,2008,Sex and the City,Warner Bros.,Comedy,Based on TV,Live Action,Contemporary Fiction,"$57,500,000 ","3,285","3,325","18,214","$56,848,056 ","$152,647,258 ","$193,679,183 ","$262,600,000 ","$415,247,258 "
7-Aug-09,7-Aug-09,2009,2009,G.I. Joe: The Rise of Cobra,Paramount Pictures,Action,Based on Toy,Animation/Live Action,Contemporary Fiction,"$175,000,000 ","4,007","4,007","24,979","$54,713,046 ","$150,201,498 ","$182,444,749 ","$152,267,519 ","$302,469,017 "
12-Dec-08,12-Dec-08,2008,2008,Gran Torino,Warner Bros.,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$25,000,000 ",6,"3,045","26,946","$271,720 ","$148,095,302 ","$180,418,066 ","$126,447,783 ","$274,543,085 "
16-Jan-09,16-Jan-09,2009,2009,Paul Blart: Mall Cop,Sony Pictures,Adventure,Original Screenplay,Live Action,Contemporary Fiction,"$26,000,000 ","3,144","3,206","31,646","$31,832,636 ","$146,336,178 ","$177,749,674 ","$39,568,572 ","$185,904,750 "
30-Jan-09,9-Apr-08,2009,2008,Taken,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$25,000,000 ","3,183","3,184","32,702","$24,717,037 ","$145,000,989 ","$176,127,866 ","$81,940,596 ","$226,941,585 "
18-Jul-08,2-Jul-08,2008,2008,Mamma Mia!,Universal,Musical,Based on Musical or Opera,Live Action,Contemporary Fiction,"$52,000,000 ","2,976","3,194","25,784","$27,751,240 ","$144,130,063 ","$182,872,546 ","$463,948,880 ","$608,078,943 "
25-Dec-08,25-Dec-08,2008,2008,Marley & Me,20th Century Fox,Comedy,Based on Fiction Book/Short Story,Live Action,Dramatization,"$60,000,000 ","3,480","3,505","19,051","$36,357,586 ","$143,153,751 ","$179,658,410 ","$104,658,260 ","$247,812,011 "
16-May-08,16-May-08,2008,2008,The Chronicles of Narnia: Prince Caspian,Walt Disney,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$225,000,000 ","3,929","3,929","21,333","$55,034,805 ","$141,621,490 ","$179,689,658 ","$275,719,798 ","$417,341,288 "
12-Nov-08,12-Nov-08,2008,2008,Slumdog Millionaire,Fox Searchlight,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$14,000,000 ",10,"2,943","27,189","$360,018 ","$141,330,703 ","$173,222,113 ","$242,494,724 ","$383,825,427 "
6-Nov-09,6-Nov-09,2009,2009,Disney’s A Christmas Carol,Walt Disney,Drama,Remake,Digital Animation,Fantasy,"$190,000,000 ","3,683","3,683","23,686","$30,051,075 ","$137,855,863 ","$167,424,190 ","$177,853,834 ","$315,709,697 "
13-Jun-08,13-Jun-08,2008,2008,The Incredible Hulk,Universal,Adventure,Based on Comic/Graphic Novel,Live Action,Super Hero,"$137,500,000 ","3,505","3,508","17,582","$55,414,050 ","$134,806,913 ","$171,043,311 ","$130,766,946 ","$265,573,859 "
27-Jun-08,27-Jun-08,2008,2008,Wanted,Universal,Action,Based on Comic/Graphic Novel,Live Action,Science Fiction,"$75,000,000 ","3,175","3,185","16,374","$50,927,085 ","$134,508,551 ","$170,664,745 ","$207,907,909 ","$342,416,460 "
15-May-09,15-May-09,2009,2009,Angels & Demons,Sony Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$150,000,000 ","3,527","3,527","20,295","$46,204,168 ","$133,375,846 ","$162,007,193 ","$357,500,000 ","$490,875,846 "
20-Jun-08,20-Jun-08,2008,2008,Get Smart,Warner Bros.,Comedy,Based on TV,Live Action,Contemporary Fiction,"$80,000,000 ","3,911","3,915","21,184","$38,683,480 ","$130,319,208 ","$165,349,306 ","$96,420,208 ","$226,739,416 "
25-Dec-08,25-Dec-08,2008,2008,The Curious Case of Benjamin Button,Paramount Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,"$160,000,000 ","2,988","2,988","20,848","$26,853,816 ","$127,509,326 ","$159,174,120 ","$202,122,632 ","$329,631,958 "
21-May-09,21-May-09,2009,2009,Terminator Salvation,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,"$200,000,000 ","3,530","3,602","18,039","$42,558,390 ","$125,322,469 ","$152,225,030 ","$240,169,323 ","$365,491,792 "
18-Sep-09,18-Sep-09,2009,2009,Cloudy with a Chance of Meatballs,Sony Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,"$100,000,000 ","3,119","3,119","23,129","$30,304,648 ","$124,870,275 ","$151,639,412 ","$111,957,402 ","$236,827,677 "
21-Aug-09,21-Aug-09,2009,2009,Inglourious Basterds,Weinstein Co.,Action,Original Screenplay,Live Action,Historical Fiction,"$70,000,000 ","3,165","3,358","21,510","$38,054,676 ","$120,774,594 ","$146,700,872 ","$196,140,670 ","$316,915,264 "
26-Nov-08,26-Nov-08,2008,2008,Four Christmases,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$80,000,000 ","3,310","3,540","20,236","$31,069,826 ","$120,146,040 ","$152,335,662 ","$48,165,518 ","$168,311,558 "
24-Jul-09,24-Jul-09,2009,2009,G-Force,Walt Disney,Adventure,Original Screenplay,Animation/Live Action,Kids Fiction,"$150,000,000 ","3,697","3,697","23,642","$31,706,934 ","$119,436,770 ","$145,075,866 ","$173,381,071 ","$292,817,841 "
14-Aug-09,14-Aug-09,2009,2009,District 9,Sony Pictures,Thriller/Suspense,Original Screenplay,Animation/Live Action,Science Fiction,"$30,000,000 ","3,049","3,180","19,030","$37,354,308 ","$115,646,235 ","$140,471,627 ","$96,807,196 ","$212,453,431 "
21-Nov-08,21-Nov-08,2008,2008,Bolt,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$150,000,000 ","3,651","3,654","23,124","$26,223,128 ","$114,053,579 ","$144,487,515 ","$213,961,450 ","$328,015,029 "
25-Dec-09,25-Dec-09,2009,2009,It’s Complicated,Universal,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$85,000,000 ","2,887","2,955","20,129","$22,100,820 ","$112,735,375 ","$133,720,342 ","$111,879,369 ","$224,614,744 "
13-Aug-08,13-Aug-08,2008,2008,Tropic Thunder,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$90,000,000 ","3,319","3,473","21,731","$25,812,796 ","$110,515,313 ","$140,222,077 ","$80,629,943 ","$191,145,256 "
25-Dec-08,25-Dec-08,2008,2008,Bedtime Stories,Walt Disney,Adventure,Original Screenplay,Live Action,Fantasy,"$80,000,000 ","3,681","3,684","16,776","$27,450,296 ","$110,101,975 ","$138,367,909 ","$111,366,960 ","$221,468,935 "
9-Oct-09,8-Oct-09,2009,2009,Couples Retreat,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$60,000,000 ","3,000","3,074","22,265","$34,286,740 ","$109,205,660 ","$132,606,809 ","$63,244,763 ","$172,450,423 "
25-Sep-09,25-Sep-09,2009,2009,Paranormal Activity,Paramount Pictures,Horror,Original Screenplay,Live Action,Fantasy,"$450,000 ",12,"2,712","14,399","$77,873 ","$107,918,810 ","$131,081,531 ","$86,264,224 ","$194,183,034 "
6-Mar-09,6-Mar-09,2009,2009,Watchmen,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$138,000,000 ","3,611","3,611","15,240","$55,214,334 ","$107,509,799 ","$130,588,570 ","$79,466,451 ","$186,976,250 "
25-Nov-09,25-Nov-09,2009,2009,The Princess and the Frog,Walt Disney,Adventure,Based on Fiction Book/Short Story,Hand Animation,Kids Fiction,"$105,000,000 ",2,"3,475","22,661","$786,190 ","$104,400,899 ","$125,699,042 ","$166,596,479 ","$270,997,378 "
1-Aug-08,1-Aug-08,2008,2008,The Mummy: Tomb of the Dragon Emperor,Universal,Adventure,Remake,Live Action,Fantasy,"$175,000,000 ","3,760","3,778","17,695","$40,457,770 ","$102,491,776 ","$130,041,797 ","$303,268,449 ","$405,760,225 "
11-Jul-08,11-Jul-08,2008,2008,Journey to the Center of the Earth,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$45,000,000 ","2,811","2,830","20,338","$21,018,141 ","$101,704,370 ","$129,042,731 ","$141,476,567 ","$243,180,937 "
26-Sep-08,26-Sep-08,2008,2008,Eagle Eye,Paramount Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$80,000,000 ","3,510","3,614","23,413","$29,150,721 ","$101,440,743 ","$128,706,126 ","$79,144,516 ","$180,585,259 "
25-Jul-08,25-Jul-08,2008,2008,Step Brothers,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$65,000,000 ","3,094","3,182","16,251","$30,940,732 ","$100,468,793 ","$127,475,027 ","$28,000,000 ","$128,468,793 "
6-Jun-08,6-Jun-08,2008,2008,You Don't Mess With the Zohan,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$90,000,000 ","3,462","3,466","16,661","$38,531,374 ","$100,018,837 ","$126,904,122 ","$102,892,154 ","$202,910,991 "
19-Dec-08,19-Dec-08,2008,2008,Yes Man,Warner Bros.,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$50,000,000 ","3,434","3,434","17,323","$18,262,471 ","$97,690,976 ","$122,966,142 ","$128,300,000 ","$225,990,976 "
1-Jul-09,1-Jul-09,2009,2009,Public Enemies,Universal,Drama,Based on Fiction Book/Short Story,Live Action,Dramatization,"$102,500,000 ","3,334","3,336","15,547","$25,271,675 ","$97,104,620 ","$117,949,739 ","$115,178,089 ","$212,282,709 "
7-Mar-08,7-Mar-08,2008,2008,"10,000 B.C.",Warner Bros.,Adventure,Original Screenplay,Live Action,Historical Fiction,"$105,000,000 ","3,410","3,454","19,930","$35,867,488 ","$94,784,201 ","$120,262,404 ","$174,281,477 ","$269,065,678 "
3-Oct-08,3-Oct-08,2008,2008,Beverly Hills Chihuahua,Walt Disney,Adventure,Original Screenplay,Live Action,Fantasy,"$20,000,000 ","3,215","3,239","22,958","$29,300,465 ","$94,514,402 ","$119,880,276 ","$59,703,766 ","$154,218,168 "
7-Aug-09,7-Aug-09,2009,2009,Julie & Julia,Sony Pictures,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$40,000,000 ","2,354","2,528","20,538","$20,027,956 ","$94,125,426 ","$114,331,010 ","$37,390,752 ","$131,516,178 "
6-Feb-09,6-Feb-09,2009,2009,He's Just Not That Into You,Warner Bros.,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$40,000,000 ","3,175","3,175","19,756","$27,785,487 ","$93,953,653 ","$114,122,373 ","$87,100,004 ","$181,053,657 "
24-Oct-08,24-Oct-08,2008,2008,High School Musical 3: Senior Year,Walt Disney,Musical,Based on TV,Live Action,Contemporary Fiction,"$11,000,000 ","3,623","3,626","19,839","$42,030,184 ","$90,559,416 ","$114,883,841 ","$183,833,464 ","$274,392,880 "
20-Feb-09,20-Feb-09,2009,2009,Madea Goes To Jail,Lionsgate,Comedy,Based on Play,Live Action,Contemporary Fiction,"$17,500,000 ","2,032","2,203","12,515","$41,030,947 ","$90,508,336 ","$109,937,458 ",$0 ,"$90,508,336 "
24-Jul-09,24-Jul-09,2009,2009,The Ugly Truth,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$38,000,000 ","2,882","2,975","16,502","$27,605,576 ","$88,915,214 ","$108,002,339 ","$116,383,693 ","$205,298,907 "
6-Aug-08,6-Aug-08,2008,2008,Pineapple Express,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$26,000,000 ","3,072","3,072","14,429","$23,245,025 ","$87,341,380 ","$110,818,932 ","$15,062,639 ","$102,404,019 "
4-Dec-09,4-Dec-09,2009,2009,Up in the Air,Paramount Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$30,000,000 ",15,"2,218","16,282","$1,181,450 ","$83,823,381 ","$99,448,978 ","$83,019,358 ","$166,842,739 "
25-Dec-08,25-Dec-08,2008,2008,Valkyrie,United Artists,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,"$90,000,000 ","2,711","2,838","13,292","$21,027,007 ","$83,107,829 ","$104,236,174 ","$120,824,345 ","$203,932,174 "
28-Mar-08,28-Mar-08,2008,2008,21,Sony Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$35,000,000 ","2,648","2,952","17,574","$24,105,943 ","$81,159,365 ","$102,975,177 ","$78,687,064 ","$159,846,429 "
9-May-08,9-May-08,2008,2008,What Happens in Vegas...,20th Century Fox,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,215","3,255","19,100","$20,172,474 ","$80,277,646 ","$101,856,459 ","$138,258,062 ","$218,535,708 "
14-Feb-08,14-Feb-08,2008,2008,Jumper,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$82,500,000 ","3,428","3,430","17,001","$27,354,808 ","$80,172,128 ","$101,722,579 ","$142,468,684 ","$222,640,812 "
18-Jan-08,18-Jan-08,2008,2008,Cloverfield,Paramount Pictures,Action,Original Screenplay,Live Action,Science Fiction,"$25,000,000 ","3,411","3,411","15,124","$40,058,229 ","$80,048,433 ","$101,565,632 ","$91,253,793 ","$171,302,226 "
20-Mar-09,20-Mar-09,2009,2009,Knowing,Summit Entertainment,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$50,000,000 ","3,332","3,337","19,727","$24,604,751 ","$79,957,634 ","$97,121,865 ","$106,492,683 ","$186,450,317 "
10-Apr-09,10-Apr-09,2009,2009,Hannah Montana the Movie,Walt Disney,Drama,Based on TV,Live Action,Contemporary Fiction,"$30,000,000 ","3,118","3,231","18,683","$32,324,487 ","$79,576,189 ","$96,658,548 ","$89,597,017 ","$169,173,206 "
12-Dec-08,12-Dec-08,2008,2008,The Day the Earth Stood Still,20th Century Fox,Adventure,Remake,Live Action,Science Fiction,"$80,000,000 ","3,560","3,560","14,567","$30,480,153 ","$79,366,978 ","$100,433,423 ","$158,003,372 ","$237,370,350 "
16-Oct-09,16-Oct-09,2009,2009,Where the Wild Things Are,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,"$100,000,000 ","3,735","3,735","19,179","$32,695,407 ","$77,233,467 ","$93,772,865 ","$21,890,189 ","$99,123,656 "
18-Jan-08,18-Jan-08,2008,2008,27 Dresses,20th Century Fox,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ","3,057","3,074","17,858","$23,007,725 ","$76,808,654 ","$97,454,990 ","$83,439,151 ","$160,247,805 "
11-Jul-08,11-Jul-08,2008,2008,Hellboy II: The Golden Army,Universal,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$82,500,000 ","3,204","3,212","13,754","$34,539,115 ","$75,986,503 ","$96,411,841 ","$84,401,560 ","$160,388,063 "
2-Oct-09,2-Oct-09,2009,2009,Zombieland,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$23,600,000 ","3,036","3,171","16,270","$24,733,155 ","$75,590,286 ","$91,816,993 ","$26,646,310 ","$102,236,596 "
6-Feb-09,6-Feb-09,2009,2009,Coraline,Focus Features,Adventure,Based on Fiction Book/Short Story,Stop-Motion Animation,Kids Fiction,"$60,000,000 ","2,299","2,320","15,637","$16,849,640 ","$75,286,229 ","$91,447,665 ","$50,750,828 ","$126,037,057 "
16-Oct-09,16-Oct-09,2009,2009,Law Abiding Citizen,Overture Films,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$53,000,000 ","2,890","2,890","16,597","$21,039,502 ","$73,357,727 ","$89,079,420 ","$57,802,054 ","$131,159,781 "
16-Jan-09,16-Jan-09,2009,2009,Hotel for Dogs,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,"$35,000,000 ","3,271","3,271","22,368","$17,012,212 ","$73,178,547 ","$88,887,545 ","$49,178,625 ","$122,357,172 "
22-Feb-08,22-Feb-08,2008,2008,Vantage Point,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","3,149","3,163","18,125","$22,874,936 ","$72,266,306 ","$91,691,649 ","$78,620,023 ","$150,886,329 "
28-Oct-09,28-Oct-09,2009,2009,Michael Jackson's This Is It,Sony Pictures,Documentary,Based on Real Life Events,Live Action,Factual,"$60,000,000 ","3,481","3,481","12,215","$23,234,394 ","$72,091,016 ","$87,566,550 ","$180,000,000 ","$252,091,016 "
20-Mar-09,20-Mar-09,2009,2009,"I Love You, Man",Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","2,711","2,829","16,599","$17,810,270 ","$72,013,010 ","$87,471,806 ","$20,289,492 ","$92,302,502 "
14-Feb-08,14-Feb-08,2008,2008,The Spiderwick Chronicles,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,"$92,500,000 ","3,847","3,847","20,646","$19,004,058 ","$71,195,053 ","$90,332,446 ","$91,644,614 ","$162,839,667 "
8-Feb-08,8-Feb-08,2008,2008,Fool's Gold,Warner Bros.,Adventure,Original Screenplay,Live Action,Contemporary Fiction,"$72,500,000 ","3,125","3,125","19,812","$21,589,295 ","$70,231,041 ","$89,109,301 ","$39,131,925 ","$109,362,966 "
19-Dec-08,19-Dec-08,2008,2008,Seven Pounds,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$54,000,000 ","2,758","2,758","12,170","$14,851,136 ","$69,951,824 ","$88,224,255 ","$96,665,504 ","$166,617,328 "
24-Apr-09,24-Apr-09,2009,2009,Obsessed,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000 ","2,541","2,634","13,071","$28,612,730 ","$68,261,644 ","$82,915,139 ","$5,703,069 ","$73,964,713 "
7-Nov-08,7-Nov-08,2008,2008,Role Models,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$28,000,000 ","2,792","2,798","15,622","$19,167,085 ","$67,300,955 ","$85,359,261 ","$27,199,871 ","$94,500,826 "
13-Mar-09,13-Mar-09,2009,2009,Race to Witch Mountain,Walt Disney,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$50,000,000 ","3,187","3,268","18,508","$24,402,214 ","$67,172,595 ","$81,592,312 ","$37,931,189 ","$105,103,784 "
28-Aug-09,28-Aug-09,2009,2009,The Final Destination,Warner Bros.,Horror,Original Screenplay,Live Action,Fantasy,"$40,000,000 ","3,121","3,121","13,592","$27,408,309 ","$66,477,700 ","$80,748,243 ","$120,906,927 ","$187,384,627 "
12-Jun-09,12-Jun-09,2009,2009,The Taking of Pelham 123,Sony Pictures,Action,Remake,Live Action,Contemporary Fiction,"$110,000,000 ","3,074","3,077","14,187","$23,373,102 ","$65,452,312 ","$79,502,733 ","$86,912,058 ","$152,364,370 "
1-Feb-08,1-Feb-08,2008,2008,Hannah Montana/Miley Cyrus: Best of B…,Walt Disney,Concert/Performance,Based on Real Life Events,Live Action,Factual,"$6,500,000 ",683,687,"3,614","$31,117,834 ","$65,281,781 ","$82,829,669 ","$5,430,318 ","$70,712,099 "
13-Feb-09,13-Feb-09,2009,2009,Friday the 13th,Warner Bros.,Horror,Remake,Live Action,Fantasy,"$17,000,000 ","3,105","3,105","12,220","$40,570,365 ","$65,002,019 ","$78,955,787 ","$27,668,218 ","$92,670,237 "
19-May-99,19-May-99,1999,1999,Star Wars Ep. I: The Phantom Menace,20th Century Fox,Adventure,Original Screenplay,Animation/Live Action,Science Fiction,"$115,000,000 ","2,970","3,126","47,092","$64,810,970 ","$474,544,677 ","$822,741,783 ","$552,500,000 ","$1,027,044,677 "
6-Aug-99,6-Aug-99,1999,1999,The Sixth Sense,Walt Disney,Thriller/Suspense,Original Screenplay,Live Action,Fantasy,"$40,000,000 ","2,161","2,821","51,740","$26,681,262 ","$293,506,292 ","$524,581,166 ","$379,300,000 ","$672,806,292 "
19-Nov-99,19-Nov-99,1999,1999,Toy Story 2,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$90,000,000 ",1,"3,257","37,423","$300,163 ","$245,852,179 ","$437,075,134 ","$265,506,097 ","$511,358,276 "
24-Jul-98,24-Jul-98,1998,1998,Saving Private Ryan,Dreamworks SKG,Drama,Original Screenplay,Live Action,Historical Fiction,"$65,000,000 ","2,453","2,807","42,425","$30,576,104 ","$216,335,085 ","$416,376,522 ","$268,700,000 ","$485,035,085 "
10-Jun-99,10-Jun-99,1999,1999,Austin Powers: The Spy Who Shagged Me,New Line,Comedy,Original Screenplay,Live Action,Dramatization,"$35,000,000 ","3,312","3,314","23,868","$54,917,604 ","$206,040,085 ","$369,493,137 ","$106,343,402 ","$312,383,487 "
1-Jul-98,1-Jul-98,1998,1998,Armageddon,Walt Disney,Adventure,Original Screenplay,Live Action,Science Fiction,"$140,000,000 ","3,127","3,184","30,971","$36,089,972 ","$201,578,182 ","$391,551,644 ","$353,021,818 ","$554,600,000 "
15-Jul-98,15-Jul-98,1998,1998,There's Something About Mary,20th Century Fox,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$22,000,000 ","2,186","2,557","39,671","$13,740,644 ","$176,484,651 ","$342,544,846 ","$193,400,000 ","$369,884,651 "
31-Mar-99,31-Mar-99,1999,1999,The Matrix,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,"$65,000,000 ","2,849","2,908","35,419","$27,788,331 ","$173,396,389 ","$307,342,795 ","$292,025,570 ","$465,421,959 "
16-Jun-99,16-Jun-99,1999,1999,Tarzan,Walt Disney,Adventure,Based on Fiction Book/Short Story,Hand Animation,Historical Fiction,"$145,000,000 ","3,005","3,131","27,576","$34,221,968 ","$171,091,819 ","$306,800,868 ","$277,100,000 ","$448,191,819 "
25-Jun-99,25-Jun-99,1999,1999,Big Daddy,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ","3,027","3,254","24,460","$41,536,370 ","$163,479,795 ","$293,169,475 ","$65,161,488 ","$228,641,283 "
20-Nov-98,20-Nov-98,1998,1998,A Bug's Life,Walt Disney,Adventure,Original Screenplay,Digital Animation,Fantasy,"$45,000,000 ",1,"2,773","31,467","$291,121 ","$162,798,565 ","$312,292,203 ","$200,296,754 ","$363,095,319 "
6-Nov-98,6-Nov-98,1998,1998,The Waterboy,Walt Disney,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$23,000,000 ","2,664","2,782","28,596","$39,414,071 ","$161,491,646 ","$311,978,956 ","$28,700,000 ","$190,191,646 "
7-May-99,7-May-99,1999,1999,The Mummy,Universal,Adventure,Remake,Live Action,Fantasy,"$80,000,000 ","3,209","3,415","29,064","$43,369,635 ","$155,385,488 ","$278,653,892 ","$261,000,000 ","$416,385,488 "
30-Jul-99,30-Jul-99,1999,1999,Runaway Bride,Paramount Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$70,000,000 ","3,158","3,240","32,664","$35,055,556 ","$152,257,509 ","$273,034,644 ","$157,880,669 ","$310,138,178 "
26-Jun-98,26-Jun-98,1998,1998,Doctor Dolittle,20th Century Fox,Adventure,Remake,Live Action,Kids Fiction,"$71,500,000 ","2,777","2,874","28,245","$29,014,324 ","$144,156,605 ","$280,013,997 ","$150,000,000 ","$294,156,605 "
18-Sep-98,18-Sep-98,1998,1998,Rush Hour,New Line,Action,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","2,638","2,724","29,810","$33,001,803 ","$141,186,864 ","$273,705,951 ","$104,113,136 ","$245,300,000 "
14-Jul-99,14-Jul-99,1999,1999,The Blair Witch Project,Artisan,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$600,000 ",27,"2,618","20,163","$1,512,054 ","$140,539,099 ","$252,029,753 ","$107,760,901 ","$248,300,000 "
8-May-98,8-May-98,1998,1998,Deep Impact,Paramount Pictures,Adventure,Original Screenplay,Live Action,Science Fiction,"$80,000,000 ","3,156","3,280","26,791","$41,152,375 ","$140,464,664 ","$272,842,869 ","$209,000,000 ","$349,464,664 "
17-Dec-99,17-Dec-99,1999,1999,Stuart Little,Sony Pictures,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,"$105,000,000 ","2,878","3,151","33,903","$15,018,223 ","$140,015,224 ","$244,838,748 ","$158,800,000 ","$298,815,224 "
