,Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year
162,Aquaman,2018-12-21,2018,12,335061810,335061807,Action,Warner Bros.,25
163,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,2012,11,334481193,292324737,Drama,Lionsgate,25
164,Austin Powers in Goldmember,2002-07-25,2002,7,334165750,213117789,Comedy,New Line,25
165,War of the Worlds,2005-06-29,2005,6,332963185,234280354,Action,Paramount Pictures,25
166,It,2017-09-08,2017,9,332592945,328828874,Horror,Warner Bros.,25
167,True Lies,1994-07-15,1994,7,326625677,146282411,Action,20th Century Fox,23
168,Man of Steel,2013-06-14,2013,6,326128489,291045518,Action,Warner Bros.,25
169,X-Men: The Last Stand,2006-05-26,2006,5,325960610,234362462,Action,20th Century Fox,25
170,Rocky IV,1985-11-27,1985,11,325675786,127873716,Drama,MGM,23
171,The Mummy Returns,2001-05-04,2001,5,325139498,202007640,Adventure,Universal,25
172,X-Men 2,2003-05-02,2003,5,324741574,214949694,Action,20th Century Fox,25
173,Deadpool 2,2018-05-18,2018,5,324591735,324591735,Action,20th Century Fox,25
174,"The Twilight Saga: Breaking Dawn, Part 1",2011-11-18,2011,11,323118299,281287133,Drama,Summit Entertainment,25
175,The Santa Clause,1994-11-11,1994,11,322437500,144833357,Adventure,Walt Disney,23
176,Platoon,1986-12-19,1986,12,322097260,137963328,Drama,Orion Pictures,23
177,Thor: Ragnarok,2017-11-03,2017,11,319915752,315058289,Action,Walt Disney,25
178,Pearl Harbor,2001-05-25,2001,5,319557956,198539855,Action,Walt Disney,25
179,Lethal Weapon 3,1992-05-15,1992,5,317711851,144731527,Action,Warner Bros.,23
180,Look Who's Talking,1989-10-13,1989,10,317402995,140088813,Comedy,Sony Pictures,23
181,Gladiator,2000-05-05,2000,5,317130387,187683805,Action,Dreamworks SKG,24
182,Jumanji: The Next Level,2019-12-13,2019,12,316831246,316831246,Adventure,Sony Pictures,25
183,Star Trek,2009-05-08,2009,5,313056067,257730019,Adventure,Paramount Pictures,25
184,A Bug's Life,1998-11-20,1998,11,312292203,162798565,Adventure,Walt Disney,24
185,The Waterboy,1998-11-06,1998,11,311978956,161491646,Comedy,Walt Disney,24
186,Jerry Maguire,1996-12-13,1996,12,311919057,153952592,Romantic Comedy,Sony Pictures,24
187,A Few Good Men,1992-12-11,1992,12,310603200,141340178,Drama,Sony Pictures,23
188,The Perfect Storm,2000-06-30,2000,6,308655646,182618434,Drama,Warner Bros.,24
189,King Kong,2005-12-14,2005,12,308433052,218080025,Adventure,Universal,25
190,The Blind Side,2009-11-20,2009,11,308054513,255959475,Drama,Warner Bros.,25
191,The Matrix,1999-03-31,1999,3,307342795,173396389,Action,Warner Bros.,23
192,Gravity,2013-10-04,2013,10,307030823,274092705,Thriller/Suspense,Warner Bros.,25
193,Tarzan,1999-06-16,1999,6,306800868,171091819,Adventure,Walt Disney,23
194,Sister Act,1992-05-29,1992,5,306458532,139605150,Comedy,Walt Disney,23
195,The Hunger Games: Mockingjay - Part 2,2015-11-20,2015,11,304241751,281723902,Thriller/Suspense,Lionsgate,25
196,What Women Want,2000-12-15,2000,12,303565725,182805123,Romantic Comedy,Paramount Pictures,24
197,The Da Vinci Code,2006-05-19,2006,5,302557895,217536138,Thriller/Suspense,Sony Pictures,25
198,Terms of Endearment,1983-11-23,1983,11,301736446,108423489,Drama,Paramount Pictures,23
199,The Bourne Ultimatum,2007-08-03,2007,8,301200787,227471070,Thriller/Suspense,Universal,25
200,Monsters University,2013-06-21,2013,6,300852229,268488329,Adventure,Walt Disney,25
201,The Amazing Spider-Man,2012-07-03,2012,7,299886852,262030663,Adventure,Sony Pictures,25
202,Men in Black 2,2002-07-03,2002,7,298574055,190418803,Action,Sony Pictures,25
203,"Honey, I Shrunk the Kids",1989-06-23,1989,6,298470475,130724172,Adventure,Walt Disney,23
204,Wedding Crashers,2005-07-15,2005,7,297344661,209218368,Comedy,New Line,25
205,Pocahontas,1995-06-10,1995,6,296502897,141579773,Adventure,Walt Disney,24
206,Ocean's Eleven,2001-12-07,2001,12,293910473,183417150,Thriller/Suspense,Warner Bros.,25
207,Charlie and the Chocolate Factory,2005-07-15,2005,7,293423115,206459076,Adventure,Warner Bros.,25
