,Unnamed: 0,Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country,index
1338,1410,Charlie Wilson's War,Charlie Wilson's War,2007-12-21,2007,12,86887017,66661095,Drama,Universal,25,Nominated for 1 Oscar. Another 5 wins & 22 nominations.,67.0,7.0,82%,R,Mike Nichols,102 min,"USA, Germany",
1339,1411,Power Rangers,Power Rangers,2017-03-24,2017,3,86696782,85364450,Action,Lionsgate,25,6 nominations.,44.0,5.9,50%,PG-13,Dean Israelite,124 min,"USA, Hong Kong, Japan, Mexico, Canada, New Zealand",
1340,1412,Hocus Pocus,Hocus Pocus,1993-07-16,1993,7,86612086,39360491,Comedy,Walt Disney,23,2 wins & 11 nominations.,,6.9,34%,PG,Kenny Ortega,96 min,USA,
1341,1413,Goosebumps,Goosebumps,2015-10-16,2015,10,86502456,80069458,Horror,Sony Pictures,25,4 nominations.,60.0,6.3,78%,PG,Rob Letterman,103 min,"USA, Australia",
1342,1414,Teenage Mutant Ninja Turtles: Out of …,Teenage Mutant Ninja Turtles Out of …,2016-06-03,2016,6,86415037,82051601,Adventure,Paramount Pictures,25,10 nominations.,40.0,6.0,37%,PG-13,Dave Green,112 min,"USA, Hong Kong, China, Canada, Denmark, Germany, UK",
1343,1415,On Deadly Ground,On Deadly Ground,1994-02-18,1994,2,86166434,38590458,Action,Warner Bros.,23,1 win & 6 nominations.,33.0,4.6,10%,R,Steven Seagal,101 min,USA,
1344,1416,What's Love Got to Do With It,What's Love Got to Do With It,1993-06-09,1993,6,86040989,39100956,Drama,Walt Disney,23,Nominated for 2 Oscars. Another 3 wins & 13 nominations.,,7.3,96%,R,Brian Gibson,118 min,USA,
1345,1417,Out for Justice,Out for Justice,1991-04-12,1991,4,85848568,39673161,Action,Warner Bros.,23,,38.0,6.1,23%,R,John Flynn,91 min,USA,
1346,1418,Alita: Battle Angel,Alita Battle Angel,2019-02-14,2019,2,85710210,85710210,Action,20th Century Fox,25,9 wins & 25 nominations.,53.0,7.3,61%,PG-13,Robert Rodriguez,122 min,"USA, Japan, Canada",
1347,1419,Twilight Zone: The Movie,Twilight Zone The Movie,1983-06-24,1983,6,85315870,29500000,Horror,Warner Bros.,23,1 win & 8 nominations.,44.0,6.5,56%,PG,"Joe Dante, John Landis, George Miller, Steven Spielberg",101 min,USA,
1348,1420,Ferdinand,Ferdinand,2017-12-15,2017,12,85246114,84410380,Adventure,20th Century Fox,25,Nominated for 1 Oscar. Another 2 wins & 19 nominations.,58.0,6.7,71%,PG,Carlos Saldanha,108 min,"USA, Spain",
1349,1421,Silverado,Silverado,1985-07-10,1985,7,85197740,33200000,Western,Sony Pictures,23,Nominated for 2 Oscars. Another 1 win & 2 nominations.,64.0,7.2,76%,PG-13,Lawrence Kasdan,133 min,USA,
1350,1422,Midnight Run,Midnight Run,1988-07-20,1988,7,85145485,38413606,Action,Universal,23,Nominated for 2 Golden Globes. Another 2 wins & 2 nominations.,78.0,7.5,94%,R,Martin Brest,126 min,USA,
1351,1423,Pixels,Pixels,2015-07-24,2015,7,85119586,78765986,Adventure,Sony Pictures,25,4 wins & 9 nominations.,27.0,5.5,17%,PG-13,Chris Columbus,105 min,"USA, China, Canada",
1352,1424,Green Book,Green Book,2018-11-16,2018,11,85080171,85080171,Comedy,Universal,25,Won 3 Oscars. Another 54 wins & 120 nominations.,69.0,8.2,78%,PG-13,Peter Farrelly,130 min,"USA, China",
1353,1425,The Mirror Has Two Faces,The Mirror Has Two Faces,1996-11-15,1996,11,85017636,41267469,Romantic Comedy,Sony Pictures,24,Nominated for 2 Oscars. Another 4 wins & 9 nominations.,,6.6,55%,PG-13,Barbra Streisand,126 min,USA,
1354,1426,Joe Versus the Volcano,Joe Versus the Volcano,1990-03-09,1990,3,85016506,39381963,Comedy,Warner Bros.,23,1 nomination.,45.0,5.8,63%,PG,John Patrick Shanley,102 min,USA,
1355,1427,Hot Shots! Part Deux,Hot Shots! Part Deux,1993-05-21,1993,5,84980093,38618836,Comedy,20th Century Fox,23,1 win.,,6.6,57%,PG-13,Jim Abrahams,86 min,USA,
1356,1428,Teen Wolf,Teen Wolf,1985-08-23,1985,8,84906767,33086611,Comedy,Atlantic,23,,25.0,6.1,44%,PG,Rod Daniel,91 min,USA,
1357,1429,Easy Money,Easy Money,1983-08-19,1983,8,84765699,29309766,Comedy,Orion Pictures,23,,48.0,6.3,60%,R,James Signorelli,95 min,USA,
1358,1430,The Last Dragon,The Last Dragon,1985-03-22,1985,3,84684501,33000000,Action,Sony Pictures,23,Nominated for 1 Golden Globe. Another 2 nominations.,,6.9,58%,PG-13,Michael Schultz,109 min,USA,
1359,1431,Only When I Laugh,Only When I Laugh,1981-09-23,1981,9,84488053,25782304,,Columbia,23,Nominated for 3 Oscars. Another 2 wins & 5 nominations.,,6.4,57%,R,Glenn Jordan,120 min,USA,
1360,1432,It Could Happen To You,It Could Happen To You,1994-07-29,1994,7,84366562,37784369,Romantic Comedy,Sony Pictures,23,,64.0,6.4,71%,PG,Andrew Bergman,101 min,USA,
1361,1433,The Dead Pool,The Dead Pool,1988-07-13,1988,7,84013705,37903000,Action,Warner Bros.,23,,46.0,6.3,57%,R,Buddy Van Horn,91 min,USA,
1362,1434,Fast Times at Ridgemont High,Fast Times at Ridgemont High,1982-08-13,1982,8,83951064,27092880,Comedy,Universal,23,1 win & 1 nomination.,61.0,7.2,78%,R,Amy Heckerling,90 min,USA,
1363,1435,Halloween II,Halloween II,1981-10-30,1981,10,83673765,25533818,Horror,Universal,23,1 win & 3 nominations.,40.0,6.5,30%,R,Rick Rosenthal,92 min,USA,
1364,1436,I Can Only Imagine,I Can Only Imagine,2018-03-16,2018,3,83482352,83482352,Drama,Roadside Attractions,25,4 wins & 4 nominations.,30.0,7.3,61%,PG,"Andrew Erwin, Jon Erwin",110 min,USA,
1365,1437,Tron,Tron,1982-07-09,1982,7,83410960,26918576,Action,Walt Disney,23,Nominated for 1 Oscar. Another 10 wins & 49 nominations.,49.0,6.8,51%,PG,Joseph Kosinski,125 min,USA,
1366,1438,The Purge: Election Year,The Purge Election Year,2016-07-01,2016,7,83245850,79042440,Horror,Universal,25,6 nominations.,55.0,6.0,56%,R,James DeMonaco,108 min,"USA, Japan",
1367,1439,Smallfoot,Smallfoot,2018-09-28,2018,9,83240103,83240103,Adventure,Warner Bros.,25,1 win & 14 nominations.,60.0,6.6,76%,PG,"Karey Kirkpatrick, Jason Reisig(co-director)",96 min,USA,
1368,1440,Good Boys,Good Boys,2019-08-16,2019,8,83140306,83140306,Comedy,Universal,25,1 win & 7 nominations.,60.0,6.7,80%,R,Gene Stupnitsky,90 min,USA,
1369,1441,Ri¢hie Ri¢h,Ri¢hie Ri¢h,1994-12-21,1994,12,83005419,38087756,Comedy,Warner Bros.,23,2 nominations.,49.0,5.4,24%,PG,Donald Petrie,95 min,USA,
1370,1442,No Way Out,No Way Out,1987-08-14,1987,8,82734442,35509515,Thriller/Suspense,Orion Pictures,23,,77.0,7.1,91%,R,Roger Donaldson,114 min,USA,
1371,1443,Escape from New York,Escape from New York,1981-07-10,1981,7,82726334,25244700,Action,Avco Embassy,23,4 nominations.,76.0,7.2,86%,R,John Carpenter,99 min,USA,
1372,1444,Nobody's Fool,Nobody's Fool,1994-12-23,1994,12,82686851,39453238,Drama,Paramount Pictures,23,Nominated for 2 Oscars. Another 5 wins & 8 nominations.,86.0,7.4,91%,R,Robert Benton,110 min,USA,
1373,1445,Paddington,Paddington,2015-01-16,2015,1,82372092,76223578,Adventure,Weinstein Co.,25,Nominated for 1 BAFTA Film Award. Another 3 wins & 6 nominations.,77.0,7.2,97%,PG,Paul King,95 min,"UK, France, USA, China",
1374,1446,Dead Again,Dead Again,1991-08-23,1991,8,82263473,38016380,Thriller/Suspense,Paramount Pictures,23,Nominated for 1 Golden Globe. Another 1 win & 4 nominations.,66.0,6.9,83%,R,Kenneth Branagh,107 min,USA,
1375,1447,High Road to China,High Road to China,1983-03-18,1983,3,82182203,28416459,Adventure,Warner Bros.,23,2 nominations.,42.0,6.1,42/100,PG,Brian G. Hutton,105 min,"USA, Yugoslavia, Hong Kong",
1376,1448,Bronco Billy,Bronco Billy,1980-06-11,1980,6,82178495,24265659,Adventure,Warner Bros.,22,2 nominations.,66.0,6.1,75%,PG,Clint Eastwood,116 min,USA,
1377,1449,The Paper,The Paper,1994-03-18,1994,3,82097862,36768310,Comedy,Universal,23,,70.0,6.6,88%,R,Ron Howard,112 min,USA,
1378,1450,Postcards from the Edge,Postcards from the Edge,1990-09-12,1990,9,81953906,37963281,Comedy,Sony Pictures,23,Nominated for 2 Oscars. Another 2 wins & 10 nominations.,71.0,6.7,84%,R,Mike Nichols,101 min,USA,
1379,1451,The Post,The Post,2017-12-22,2017,12,81930931,81903458,Drama,20th Century Fox,25,Nominated for 2 Oscars. Another 20 wins & 112 nominations.,83.0,7.2,88%,PG-13,Steven Spielberg,116 min,"USA, UK",
1380,1452,Summer School,Summer School,1987-07-22,1987,7,81813922,35114428,Comedy,Paramount Pictures,23,1 nomination.,27.0,6.6,63%,PG-13,Carl Reiner,97 min,USA,
1381,1453,The Mummy,The Mummy,2017-06-09,2017,6,81351307,80101125,Adventure,Universal,25,Nominated for 1 Oscar. Another 5 wins & 23 nominations.,48.0,7.0,60%,PG-13,Stephen Sommers,124 min,"USA, UK, Morocco",
1382,1454,Junior,Junior,1994-11-23,1994,11,81267541,36763355,Comedy,Universal,23,Nominated for 1 Oscar. Another 4 nominations.,59.0,4.6,36%,PG-13,Ivan Reitman,109 min,USA,
1383,1455,Bill & Ted's Bogus Journey,Bill & Ted's Bogus Journey,1991-07-19,1991,7,81227602,37537675,Adventure,Orion Pictures,23,1 win & 1 nomination.,60.0,6.3,54%,PG,Peter Hewitt,93 min,USA,
1384,1456,The Doctor,The Doctor,1991-07-24,1991,7,81140620,37497480,Drama,Walt Disney,23,3 nominations.,,7.0,82%,PG-13,Randa Haines,122 min,USA,
1385,1457,Alice Through the Looking Glass,Alice Through the Looking Glass,2016-05-27,2016,5,81139427,77042381,Adventure,Walt Disney,25,4 wins & 20 nominations.,34.0,6.2,29%,PG,James Bobin,113 min,"USA, UK",
1386,1458,The `Burbs,The `Burbs,1989-02-17,1989,2,80785020,35382246,Comedy,Universal,23,1 nomination.,45.0,6.9,53%,PG,Joe Dante,102 min,USA,
1387,1459,Pete’s Dragon,Pete’s Dragon,2016-08-12,2016,8,80287168,76233151,Adventure,Walt Disney,25,3 wins & 7 nominations.,71.0,6.7,88%,PG,David Lowery,102 min,USA,
1388,1460,Like Father Like Son,Like Father Like Son,1987-10-02,1987,10,80097133,34377585,Comedy,Sony Pictures,23,4 nominations.,22.0,4.4,5%,PG-13,John Whitesell,107 min,USA,
1389,1461,Men in Black: International,Men in Black International,2019-06-14,2019,6,80001807,80001807,Adventure,Sony Pictures,25,9 nominations.,38.0,5.6,23%,PG-13,F. Gary Gray,114 min,"China, USA",
1390,1462,Universal Soldier,Universal Soldier,1992-07-10,1992,7,79684833,36299898,Action,Sony Pictures,23,,35.0,6.0,29%,R,Roland Emmerich,102 min,USA,
1391,1463,Happy Gilmore,Happy Gilmore,1996-02-16,1996,2,79606268,38623460,Comedy,Universal,24,1 win & 4 nominations.,31.0,7.0,61%,PG-13,Dennis Dugan,92 min,USA,
1392,1464,The Ghost and the Darkness,The Ghost and the Darkness,1996-10-11,1996,10,79424733,38564422,Action,Paramount Pictures,24,Won 1 Oscar. Another 4 nominations.,,6.8,50%,R,Stephen Hopkins,110 min,"Germany, USA",
1393,1465,Nothing in Common,Nothing in Common,1986-07-30,1986,7,79372405,32324000,Comedy,Sony/TriStar,23,1 nomination.,62.0,5.9,57%,PG,Garry Marshall,118 min,USA,
1394,1466,Licence to Kill,Licence to Kill,1989-07-14,1989,7,79151998,34667015,Action,MGM,23,1 nomination.,58.0,6.6,77%,PG-13,John Glen,133 min,"UK, Mexico, USA",
1395,1467,Caligula,Caligula,1980-02-01,1980,2,79099925,23400000,Drama,Analysis,22,2 nominations.,,5.4,23%,Unrated,Tinto Brass,156 min,Italy,
1396,1468,Dangerous Liaisons,Dangerous Liaisons,1988-12-21,1988,12,79091572,34700000,Drama,Warner Bros.,23,Won 3 Oscars. Another 18 wins & 20 nominations.,74.0,7.6,93%,R,Stephen Frears,119 min,"USA, UK",
1397,1469,Soapdish,Soapdish,1991-05-31,1991,5,78960296,36489888,Comedy,Paramount Pictures,23,,65.0,6.6,69%,PG-13,Michael Hoffman,97 min,USA,
1398,1470,Body Heat,Body Heat,1981-08-28,1981,8,78837539,24058000,Thriller/Suspense,Warner Bros.,23,Nominated for 1 Golden Globe. Another 5 nominations.,77.0,7.4,98%,R,Lawrence Kasdan,113 min,USA,
1399,1471,Adventures in Babysitting,Adventures in Babysitting,1987-07-03,1987,7,78730251,33790923,Comedy,Walt Disney,23,2 wins & 4 nominations.,45.0,6.9,72%,PG-13,Chris Columbus,102 min,USA,
1400,1472,Modern Problems,Modern Problems,1981-12-25,1981,12,78726015,24474312,Comedy,20th Century Fox,23,1 nomination.,27.0,5.1,27/100,PG,Ken Shapiro,93 min,USA,
1401,1473,Seems Like Old Times,Seems Like Old Times,1980-12-19,1980,12,78569514,23200000,Romantic Comedy,Columbia,22,1 nomination.,58.0,6.7,72%,PG,Jay Sandrich,102 min,USA,
1402,1474,Graduation Day,Graduation Day,1981-05-01,1981,5,78300122,23894000,Thriller/Suspense,IFI Scope,23,,,4.8,57%,R,Herb Freed,96 min,USA,
1403,1475,Uncommon Valor,Uncommon Valor,1983-12-16,1983,12,78172254,27900000,Action,Paramount Pictures,23,,38.0,6.4,56%,R,Ted Kotcheff,105 min,USA,
1404,1476,Mississippi Burning,Mississippi Burning,1988-12-09,1988,12,77916026,34603000,Drama,Orion Pictures,23,Won 1 Oscar. Another 16 wins & 24 nominations.,65.0,7.8,83%,R,Alan Parker,128 min,USA,
1405,1477,The Gods Must Be Crazy,The Gods Must Be Crazy,1984-07-09,1984,7,77652456,30031783,Comedy,20th Century Fox,23,2 wins & 3 nominations.,73.0,7.3,85%,PG,Jamie Uys,109 min,"South Africa, Botswana",
1406,1478,Red Heat,Red Heat,1988-06-17,1988,6,77567204,34994648,Action,Sony/TriStar,23,,61.0,6.1,67%,R,Walter Hill,104 min,USA,
1407,1479,Mars Attacks!,Mars Attacks!,1996-12-13,1996,12,77545914,37771017,Comedy,Warner Bros.,24,3 wins & 19 nominations.,52.0,6.3,54%,PG-13,Tim Burton,106 min,USA,
1408,1480,Night School,Night School,2018-09-28,2018,9,77339130,77339130,Comedy,Universal,25,4 nominations.,43.0,5.6,27%,PG-13,Malcolm D. Lee,111 min,USA,
1409,1481,Children of a Lesser God,Children of a Lesser God,1986-10-03,1986,10,77244382,31853080,Drama,Paramount Pictures,23,Won 1 Oscar. Another 5 wins & 11 nominations.,80.0,7.2,81%,R,Randa Haines,119 min,USA,
1410,1482,Other People's Money,Other People's Money,1991-10-18,1991,10,77212115,35682000,Comedy,Warner Bros.,23,,,6.2,31%,R,Norman Jewison,103 min,USA,
1411,1483,Xanadu,Xanadu,1980-08-08,1980,8,77088109,22762571,Musical,Universal,22,1 win & 10 nominations.,35.0,5.2,27%,PG,Robert Greenwald,96 min,USA,
1412,1484,American Gigolo,American Gigolo,1980-02-01,1980,2,77024112,22743674,Drama,Paramount Pictures,22,,57.0,6.3,68%,R,Paul Schrader,117 min,USA,
1413,1485,Raging Bull,Raging Bull,1980-11-14,1980,11,76736700,23380203,Drama,United Artists,22,Won 2 Oscars. Another 22 wins & 28 nominations.,89.0,8.2,93%,R,Martin Scorsese,129 min,USA,
1414,1486,Airplane II: The Sequel,Airplane II The Sequel,1982-12-10,1982,12,76562918,25009494,Comedy,Paramount Pictures,23,,48.0,6.2,42%,PG,Ken Finkleman,85 min,USA,
1415,1487,Never Cry Wolf,Never Cry Wolf,1983-10-07,1983,10,76370497,27668764,Drama,Walt Disney,23,Nominated for 1 Oscar. Another 4 wins & 2 nominations.,,7.5,100%,PG,Carroll Ballard,105 min,USA,
1416,1488,Starman,Starman,1984-12-14,1984,12,76284890,28700000,Adventure,Sony Pictures,23,Nominated for 1 Oscar. Another 1 win & 5 nominations.,70.0,7.0,85%,PG,John Carpenter,115 min,USA,
1417,1489,Mad Max 2: The Road Warrior,Mad Max 2 The Road Warrior,1982-05-21,1982,5,76229100,24600832,Action,Warner Bros.,23,8 wins & 10 nominations.,77.0,7.6,93%,R,George Miller,96 min,Australia,
1418,1490,Cannonball Run II,Cannonball Run II,1984-06-29,1984,6,76187795,28100000,Comedy,Warner Bros.,23,1 win & 8 nominations.,13.0,5.1,13%,PG,"Hal Needham, Ralph Bakshi",108 min,"USA, Hong Kong",
1419,1491,My Bodyguard,My Bodyguard,1980-07-11,1980,7,76141143,22482952,Comedy,20th Century Fox,22,1 win & 2 nominations.,67.0,7.1,84%,PG,Tony Bill,102 min,USA,
1420,1492,Fletch Lives,Fletch Lives,1989-03-17,1989,3,75955153,33266859,Comedy,Universal,23,,40.0,6.1,37%,PG,Michael Ritchie,95 min,USA,
1421,1493,Murphy's Romance,Murphy's Romance,1985-12-25,1985,12,75945160,30762621,Romantic Comedy,Sony Pictures,23,Nominated for 2 Oscars. Another 2 nominations.,,7.0,73%,PG-13,Martin Ritt,107 min,USA,
1422,1494,Mermaids,Mermaids,1990-12-14,1990,12,75877737,35140500,Comedy,Orion Pictures,23,Nominated for 1 Golden Globe. Another 4 wins.,56.0,6.7,73%,PG-13,Richard Benjamin,110 min,USA,
1423,1495,*batteries not included,*batteries not included,1987-12-18,1987,12,75846307,32945797,Comedy,Universal,23,2 wins & 1 nomination.,54.0,6.7,63%,PG,Matthew Robbins,106 min,USA,
1424,1496,Freddy’s Dead: The Final Nightmare,Freddy’s Dead The Final Nightmare,1991-09-13,1991,9,75459433,34872033,Horror,New Line,23,1 win & 4 nominations.,39.0,4.9,20%,R,Rachel Talalay,89 min,USA,
1425,1497,White Fang,White Fang,1991-01-18,1991,1,75150121,34729091,Adventure,Walt Disney,23,1 win.,62.0,6.7,65%,PG,Randal Kleiser,107 min,USA,
1426,1498,Teachers,Teachers,1984-10-05,1984,10,75103268,27700000,Drama,MGM/UA Classics,23,,39.0,6.1,67%,R,Arthur Hiller,107 min,USA,
1427,1499,The Lost Boys,The Lost Boys,1987-07-31,1987,7,75076102,32222567,Horror,Warner Bros.,23,3 wins & 5 nominations.,63.0,7.3,76%,R,Joel Schumacher,97 min,USA,
1428,1501,The Doors,The Doors,1991-03-01,1991,3,74474551,34416893,Drama,Sony Pictures,23,3 nominations.,62.0,7.2,57%,R,Oliver Stone,140 min,"USA, France",
1429,1502,The Outsiders,The Outsiders,1983-03-25,1983,3,74319225,25697647,Drama,Warner Bros.,23,1 win & 3 nominations.,41.0,7.1,63%,PG,Francis Ford Coppola,91 min,"USA, France",
1430,1503,Set It Off,Set It Off,1996-11-06,1996,11,74192660,36049108,Drama,New Line,24,5 wins & 6 nominations.,,6.9,67%,R,F. Gary Gray,123 min,USA,
1431,1504,Annabelle Comes Home,Annabelle Comes Home,2019-06-26,2019,6,74152594,74152591,Horror,Warner Bros.,25,2 nominations.,53.0,5.9,65%,R,Gary Dauberman,106 min,USA,
1432,1505,The French Lieutenant's Woman,The French Lieutenant's Woman,1981-09-18,1981,9,74059709,22600000,Drama,United Artists,23,Nominated for 5 Oscars. Another 9 wins & 15 nominations.,64.0,7.0,78%,R,Karel Reisz,124 min,UK,
1433,1506,Child's Play,Child's Play,1988-11-09,1988,11,73988742,33244684,Horror,United Artists,23,2 wins & 3 nominations.,58.0,6.6,71%,R,Tom Holland,87 min,USA,
1434,1507,The Accidental Tourist,The Accidental Tourist,1988-12-23,1988,12,73931394,32632000,Drama,Warner Bros.,23,Won 1 Oscar. Another 3 wins & 11 nominations.,53.0,6.8,81%,PG,Lawrence Kasdan,121 min,USA,
1435,1508,Dune,Dune,1984-12-14,1984,12,73899127,27447471,Action,Universal,23,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,40.0,6.5,52%,PG-13,David Lynch,137 min,"USA, Mexico",
1436,1510,Yesterday,Yesterday,2019-06-28,2019,6,73286652,73286650,Drama,Universal,25,1 win & 15 nominations.,55.0,6.8,63%,PG-13,Danny Boyle,116 min,"UK, Russia, Japan, USA",
1437,1512,Sophie's Choice,Sophie's Choice,1982-12-10,1982,12,73198668,25215547,Drama,Universal,23,Won 1 Oscar. Another 12 wins & 12 nominations.,68.0,7.6,78%,R,Alan J. Pakula,150 min,"UK, USA",
1438,1513,Zombieland: Double Tap,Zombieland Double Tap,2019-10-18,2019,10,73118130,73118130,Comedy,Sony Pictures,25,3 nominations.,55.0,6.7,68%,R,Ruben Fleischer,99 min,USA,
1439,1514,The Princess Bride,The Princess Bride,1987-09-25,1987,9,71894435,30857000,Adventure,20th Century Fox,23,Nominated for 1 Oscar. Another 7 wins & 8 nominations.,77.0,8.1,97%,PG,Rob Reiner,98 min,USA,
1440,1515,Fame,Fame,1980-05-16,1980,5,71805858,21202829,Musical,MGM,22,Won 2 Oscars. Another 5 wins & 16 nominations.,58.0,6.6,84%,R,Alan Parker,134 min,USA,
1441,1516,Conan the Destroyer,Conan the Destroyer,1984-06-29,1984,6,71578564,26400000,Action,Universal,23,1 win & 3 nominations.,53.0,5.9,26%,PG,Richard Fleischer,103 min,"USA, Mexico",
1442,1517,Friday the 13th Part 2,Friday the 13th Part 2,1981-04-30,1981,4,71185066,21722776,Horror,Paramount Pictures,23,3 nominations.,26.0,6.1,27%,R,Steve Miner,87 min,USA,
1443,1518,Darkman,Darkman,1990-08-24,1990,8,71115721,32942739,Action,Universal,23,3 wins & 8 nominations.,65.0,6.4,84%,R,Sam Raimi,96 min,USA,
1444,1519,The Accused,The Accused,1988-10-14,1988,10,71103031,32078318,Drama,Paramount Pictures,23,Won 1 Oscar. Another 5 wins & 5 nominations.,65.0,7.1,91%,R,Jonathan Kaplan,111 min,"Canada, USA",
1445,1520,Desperately Seeking Susan,Desperately Seeking Susan,1985-03-29,1985,3,70313795,27400000,Comedy,Orion Pictures,23,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,71.0,6.0,83%,PG-13,Susan Seidelman,104 min,USA,
1446,1521,A Passage to India,A Passage to India,1984-12-14,1984,12,69963424,27187653,Drama,Sony Pictures,23,Won 2 Oscars. Another 20 wins & 26 nominations.,78.0,7.3,79%,PG,David Lean,164 min,"UK, USA",
1447,1522,Victor/Victoria,Victor/Victoria,1982-03-19,1982,3,69795655,22524614,Musical,MGM,23,Won 1 Oscar. Another 10 wins & 17 nominations.,84.0,7.6,97%,PG,Blake Edwards,134 min,"UK, USA",
1448,1523,Protocol,Protocol,1984-12-21,1984,12,69767824,26300000,Comedy,Warner Bros.,23,5 wins & 30 nominations.,73.0,7.4,94%,PG-13,Brad Bird,132 min,"USA, United Arab Emirates, Czech Republic, India, Canada",
1449,1525,The First Purge,The First Purge,2018-07-04,2018,7,69488748,69488745,Horror,Universal,25,,54.0,5.2,55%,R,Gerard McMurray,97 min,USA,
1450,1526,Harry and the Hendersons,Harry and the Hendersons,1987-06-05,1987,6,69339936,29760613,Comedy,Universal,23,Won 1 Oscar. Another 1 win & 7 nominations.,42.0,6.0,43%,PG,William Dear,110 min,USA,
1451,1527,The Muppets Take Manhattan,The Muppets Take Manhattan,1984-07-13,1984,7,69232474,25534703,Comedy,Sony/TriStar,23,Nominated for 1 Oscar. Another 2 nominations.,64.0,6.9,83%,G,Frank Oz,94 min,USA,
1452,1528,Micki + Maude,Micki + Maude,1984-12-21,1984,12,69174289,26200000,Comedy,Sony Pictures,23,Won 1 Golden Globe. Another 1 nomination.,,6.0,67%,PG-13,Blake Edwards,118 min,USA,
1453,1529,A Nightmare on Elm Street,A Nightmare on Elm Street,1984-11-09,1984,11,69150621,25504513,Horror,New Line,23,3 wins & 5 nominations.,76.0,7.5,94%,R,Wes Craven,91 min,USA,
1454,1530,Weekend at Bernie's,Weekend at Bernie's,1989-07-05,1989,7,68994858,30218387,Comedy,20th Century Fox,23,1 nomination.,32.0,6.4,54%,PG-13,Ted Kotcheff,97 min,USA,
1455,1531,The Cotton Club,The Cotton Club,1984-12-14,1984,12,68954966,25928721,Drama,Orion Pictures,23,Nominated for 2 Oscars. Another 1 win & 6 nominations.,68.0,6.5,76%,R,Francis Ford Coppola,127 min,USA,
1456,1532,The Woman in Red,The Woman in Red,1984-08-15,1984,8,68618214,25308147,Comedy,Orion Pictures,23,Won 1 Oscar. Another 1 win & 1 nomination.,55.0,6.0,35%,PG-13,Gene Wilder,87 min,USA,
1457,1533,Road House,Road House,1989-05-19,1989,5,68610462,30050028,Action,United Artists,23,5 nominations.,36.0,6.6,39%,R,Rowdy Herrington,114 min,USA,
1458,1534,Prizzi's Honor,Prizzi's Honor,1985-06-14,1985,6,68517458,26700000,Drama,20th Century Fox,23,Won 1 Oscar. Another 26 wins & 24 nominations.,84.0,6.7,86%,R,John Huston,130 min,USA,
1459,1535,Lean on Me,Lean on Me,1989-03-03,1989,3,68092431,29823140,Drama,Warner Bros.,23,4 wins & 5 nominations.,58.0,7.4,69%,PG-13,John G. Avildsen,108 min,USA,
1460,1536,Hoosiers,Hoosiers,1986-11-14,1986,11,67417999,28607524,Drama,Orion Pictures,23,Nominated for 2 Oscars. Another 3 wins & 3 nominations.,76.0,7.5,89%,PG,David Anspaugh,114 min,"UK, USA",
1461,1537,Altered States,Altered States,1980-12-25,1980,12,67237521,19853892,Horror,Warner Bros.,22,Nominated for 2 Oscars. Another 1 win & 5 nominations.,58.0,6.9,84%,R,Ken Russell,102 min,USA,
1462,1538,The Final Conflict,The Final Conflict,1981-03-20,1981,3,67083025,20471000,Horror,20th Century Fox,23,1 win.,34.0,5.6,30%,R,Graham Baker,108 min,"UK, USA",
1463,1539,Soul Man,Soul Man,1986-10-24,1986,10,67075618,27316198,Comedy,New World,23,,33.0,5.2,13%,PG-13,Steve Miner,104 min,USA,
1464,1540,Cruising,Cruising,1980-01-01,1980,1,67001581,19784223,Drama,United Artists,22,5 nominations.,43.0,6.5,49%,R,William Friedkin,102 min,"West Germany, USA",
1465,1541,Two of a Kind,Two of a Kind,1983-12-16,1983,12,66925003,23700000,Comedy,20th Century Fox,23,6 nominations.,5.0,4.7,18%,PG,John Herzfeld,88 min,USA,
1466,1542,Nuts,Nuts,1987-11-20,1987,11,66808832,28866028,Drama,Warner Bros.,23,1 nomination.,14.0,5.5,10%,PG-13,Nora Ephron,97 min,USA,
1467,1543,The Incredible Shrinking Woman,The Incredible Shrinking Woman,1981-01-30,1981,1,66388305,20259000,Comedy,Universal,23,1 win & 3 nominations.,,5.5,22%,PG,Joel Schumacher,88 min,USA,
1468,1544,Tess,Tess,1980-12-12,1980,12,66052592,20093330,,Columbia,22,Nominated for 1 Golden Globe. Another 1 nomination.,46.0,6.2,57%,PG-13,Hugh Wilson,96 min,USA,
1469,1545,Air America,Air America,1990-08-10,1990,8,65857192,30506847,Action,Sony Pictures,23,1 nomination.,33.0,5.8,13%,R,Roger Spottiswoode,113 min,USA,
1470,1546,Agnes of God,Agnes of God,1985-09-13,1985,9,65766074,25627836,Drama,Sony Pictures,23,Nominated for 3 Oscars. Another 1 win & 2 nominations.,52.0,6.6,43%,PG-13,Norman Jewison,98 min,"USA, Canada",
1471,1547,Outland,Outland,1981-05-22,1981,5,65539563,20000000,Action,Warner Bros.,23,Nominated for 1 Oscar. Another 1 win & 6 nominations.,48.0,6.6,56%,R,Peter Hyams,109 min,UK,
