,Unnamed: 0,Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country,index
338,357,American Beauty,American Beauty,1999-09-15,1999,9,227144586,130058047,Drama,Dreamworks SKG,23,Won 5 Oscars. Another 106 wins & 101 nominations.,84.0,8.3,87%,R,Sam Mendes,122 min,USA,
339,358,Maverick,Maverick,1994-05-20,1994,5,226926684,101631272,Western,Warner Bros.,23,Nominated for 1 Oscar. Another 1 win & 1 nomination.,62.0,7.0,66%,PG,Richard Donner,127 min,USA,
340,359,Ace Ventura: When Nature Calls,Ace Ventura When Nature Calls,1995-11-10,1995,11,226801075,108360063,Comedy,Warner Bros.,24,7 wins & 6 nominations.,45.0,6.4,31%,PG-13,Steve Oedekerk,90 min,USA,
341,360,World War Z,World War Z,2013-06-21,2013,6,226752391,202359711,Action,Paramount Pictures,25,3 wins & 24 nominations.,63.0,7.0,66%,PG-13,Marc Forster,116 min,"USA, UK, Malta",
342,361,The World is Not Enough,The World is Not Enough,1999-11-19,1999,11,226691846,126930660,Action,MGM,23,7 wins & 12 nominations.,57.0,6.4,53%,PG-13,Michael Apted,128 min,"UK, USA",
343,362,The Amazing Spider-Man 2,The Amazing Spider-Man 2,2014-05-02,2014,5,226193301,202853933,Action,Sony Pictures,25,4 wins & 30 nominations.,53.0,6.6,51%,PG-13,Marc Webb,142 min,USA,
344,363,In the Line of Fire,In the Line of Fire,1993-07-09,1993,7,224985908,102243874,Thriller/Suspense,Sony Pictures,23,Nominated for 3 Oscars. Another 2 wins & 14 nominations.,74.0,7.2,96%,R,Wolfgang Petersen,128 min,USA,
345,364,The Longest Yard,The Longest Yard,2005-05-27,2005,5,224722036,158119460,Comedy,Paramount Pictures,25,2 wins & 17 nominations.,48.0,6.4,31%,PG-13,Peter Segal,113 min,USA,
346,365,48 Hrs.,48 Hrs.,1982-12-08,1982,12,224702596,75936265,Action,Paramount Pictures,23,Nominated for 1 Golden Globe. Another 2 wins & 1 nomination.,71.0,6.9,93%,R,Walter Hill,96 min,USA,
347,366,A Time to Kill,A Time to Kill,1996-07-24,1996,7,224176083,108766007,Drama,Warner Bros.,24,Nominated for 1 Golden Globe. Another 7 wins & 11 nominations.,54.0,7.5,67%,R,Joel Schumacher,149 min,USA,
348,367,Back to School,Back to School,1986-06-13,1986,6,224086350,91258000,Comedy,Orion Pictures,23,1 win & 2 nominations.,68.0,6.6,85%,PG-13,Alan Metter,96 min,USA,
349,368,Smokey and the Bandit II,Smokey and the Bandit II,1980-08-15,1980,8,223965879,66132626,Comedy,Universal,22,1 win & 5 nominations.,41.0,5.3,14%,PG,Hal Needham,100 min,USA,
350,369,Dick Tracy,Dick Tracy,1990-06-15,1990,6,223947814,103738726,Action,Walt Disney,23,Won 3 Oscars. Another 6 wins & 36 nominations.,68.0,6.1,62%,PG,Warren Beatty,105 min,USA,
351,370,Godzilla,Godzilla,2014-05-16,2014,5,223764867,200676069,Action,Warner Bros.,25,7 wins & 31 nominations.,62.0,6.4,75%,PG-13,Gareth Edwards,123 min,"USA, Japan",
352,371,Face/Off,Face/Off,1997-06-27,1997,6,222840011,112276146,Action,Paramount Pictures,24,Nominated for 1 Oscar. Another 11 wins & 21 nominations.,82.0,7.3,92%,R,John Woo,138 min,USA,
353,372,Wild Hogs,Wild Hogs,2007-03-02,2007,3,222736293,168213584,Comedy,Walt Disney,25,1 win & 4 nominations.,27.0,5.8,14%,PG-13,Walt Becker,100 min,USA,
354,373,The Pelican Brief,The Pelican Brief,1993-12-17,1993,12,222685970,100768056,Drama,Warner Bros.,23,1 win & 2 nominations.,50.0,6.6,53%,PG-13,Alan J. Pakula,141 min,USA,
355,374,xXx,xXx,2002-08-09,2002,8,222544282,141930000,Action,Sony Pictures,25,4 wins & 14 nominations.,48.0,5.9,48%,PG-13,Rob Cohen,124 min,USA,
356,375,Goldeneye,Goldeneye,1995-11-17,1995,11,222467730,106429941,Action,MGM,24,Nominated for 2 BAFTA Film Awards. Another 2 wins & 6 nominations.,65.0,7.2,78%,PG-13,Martin Campbell,130 min,"UK, USA",
357,376,Unforgiven,Unforgiven,1992-08-07,1992,8,222212140,101157447,Western,Warner Bros.,23,Won 4 Oscars. Another 46 wins & 46 nominations.,85.0,8.2,96%,R,Clint Eastwood,130 min,USA,
358,377,The Pursuit of Happyness,The Pursuit of Happyness,2006-12-15,2006,12,221849918,162586036,Drama,Sony Pictures,25,Nominated for 1 Oscar. Another 12 wins & 25 nominations.,64.0,8.0,67%,PG-13,Gabriele Muccino,117 min,USA,
359,378,Mission: Impossible—Fallout,Mission Impossible—Fallout,2018-07-27,2018,7,220159104,220159104,Action,Paramount Pictures,25,Nominated for 1 BAFTA Film Award. Another 24 wins & 39 nominations.,86.0,7.7,97%,PG-13,Christopher McQuarrie,147 min,"USA, China, France, Norway, UK",
360,379,Police Academy,Police Academy,1984-03-23,1984,3,220155330,81198894,Comedy,Warner Bros.,23,1 win.,41.0,6.7,54%,R,Hugh Wilson,96 min,USA,
361,380,Cars 2,Cars 2,2011-06-24,2011,6,219939150,191450875,Adventure,Walt Disney,25,Nominated for 1 Golden Globe. Another 1 win & 18 nominations.,57.0,6.1,39%,G,"John Lasseter, Bradford Lewis(co-director)",106 min,USA,
362,381,Fantastic Four,Fantastic Four,2005-07-08,2005,7,219856668,154696080,Action,20th Century Fox,25,4 wins & 12 nominations.,40.0,5.7,27%,PG-13,Tim Story,106 min,"USA, Germany",
363,382,Sleeping with the Enemy,Sleeping with the Enemy,1991-02-08,1991,2,219849626,101599005,Thriller/Suspense,20th Century Fox,23,2 wins & 4 nominations.,48.0,6.3,20%,R,Joseph Ruben,99 min,USA,
364,383,You've Got Mail,You've Got Mail,1998-12-18,1998,12,219339457,115821495,Drama,Warner Bros.,24,Nominated for 1 Golden Globe. Another 6 wins & 7 nominations.,57.0,6.6,69%,PG,Nora Ephron,119 min,USA,
365,384,Dead Poets Society,Dead Poets Society,1989-06-02,1989,6,218868579,95860116,Drama,Walt Disney,23,Won 1 Oscar. Another 19 wins & 18 nominations.,79.0,8.1,84%,PG,Peter Weir,128 min,USA,
366,385,X-Men Origins: Wolverine,X-Men Origins Wolverine,2009-05-01,2009,5,218498075,179883157,Action,20th Century Fox,25,3 wins & 18 nominations.,40.0,6.6,37%,PG-13,Gavin Hood,107 min,"USA, UK",
367,386,The Santa Clause 2,The Santa Clause 2,2002-11-01,2002,11,218249983,139225854,Adventure,Walt Disney,25,1 win & 3 nominations.,48.0,5.6,56%,G,Michael Lembeck,104 min,"USA, Canada",
368,387,Cinderella,Cinderella,2015-03-13,2015,3,217377081,201151353,Drama,Walt Disney,25,Nominated for 3 Oscars. Another 16 wins & 42 nominations.,69.0,8.0,80%,PG-13,Ron Howard,144 min,USA,
369,388,The First Wives Club,The First Wives Club,1996-09-20,1996,9,217359772,105489203,Comedy,Paramount Pictures,24,Nominated for 1 Oscar. Another 3 wins & 7 nominations.,58.0,6.4,50%,PG,Hugh Wilson,103 min,USA,
370,389,Footloose,Footloose,1984-02-17,1984,2,216904755,80000000,Musical,Paramount Pictures,23,Nominated for 2 Oscars. Another 1 win & 4 nominations.,42.0,6.6,51%,PG,Herbert Ross,107 min,USA,
371,390,Ant-Man and the Wasp,Ant-Man and the Wasp,2018-07-06,2018,7,216648740,216648740,Action,Walt Disney,25,18 nominations.,70.0,7.1,88%,PG-13,Peyton Reed,118 min,USA,
372,391,Wreck-It Ralph,Wreck-It Ralph,2012-11-02,2012,11,216516450,189412677,Adventure,Walt Disney,25,Nominated for 1 Oscar. Another 33 wins & 41 nominations.,72.0,7.7,87%,PG,Rich Moore,101 min,USA,
373,392,Bohemian Rhapsody,Bohemian Rhapsody,2018-11-02,2018,11,216303340,216303339,Drama,20th Century Fox,25,Won 4 Oscars. Another 40 wins & 76 nominations.,49.0,8.0,60%,PG-13,Bryan Singer,134 min,"UK, USA",
374,393,Spectre,Spectre,2015-11-06,2015,11,216131343,200074175,Action,Sony Pictures,25,Won 1 Oscar. Another 7 wins & 34 nominations.,60.0,6.8,63%,PG-13,Sam Mendes,148 min,"UK, USA, Austria, Mexico, Italy, Morocco",
375,394,The Best Little Whorehouse in Texas,The Best Little Whorehouse in Texas,1982-07-23,1982,7,215980235,69701637,Comedy,Universal,23,Nominated for 1 Oscar. Another 2 nominations.,40.0,6.0,56%,R,Colin Higgins,114 min,USA,
376,395,Phenomenon,Phenomenon,1996-07-05,1996,7,215657149,104636382,Drama,Walt Disney,24,7 wins & 8 nominations.,41.0,6.4,50%,PG,Jon Turteltaub,123 min,USA,
377,396,Over the Hedge,Over the Hedge,2006-05-19,2006,5,215607044,155019340,Adventure,Paramount Pictures,25,7 wins & 26 nominations.,67.0,6.7,75%,PG,"Tim Johnson, Karey Kirkpatrick",83 min,USA,
378,398,A Star is Born,A Star is Born,2018-10-05,2018,10,215288866,215288866,Drama,Warner Bros.,25,Won 1 Oscar. Another 94 wins & 274 nominations.,88.0,7.7,90%,R,Bradley Cooper,136 min,USA,
379,399,WarGames,WarGames,1983-06-03,1983,6,215267378,74433837,Thriller/Suspense,MGM,23,Nominated for 3 Oscars. Another 4 wins & 11 nominations.,77.0,7.1,93%,PG,John Badham,114 min,USA,
380,400,Schindler’s List,Schindler’s List,1993-12-15,1993,12,215056017,96898818,Drama,Universal,23,Won 7 Oscars. Another 83 wins & 49 nominations.,94.0,8.9,97%,R,Steven Spielberg,195 min,USA,
381,401,Quantum of Solace,Quantum of Solace,2008-11-14,2008,11,214757090,169368427,Action,Sony Pictures,25,Nominated for 2 BAFTA Film Awards. Another 4 wins & 30 nominations.,58.0,6.6,65%,PG-13,Marc Forster,106 min,"UK, USA",
382,402,Enemy of the State,Enemy of the State,1998-11-20,1998,11,214481613,111549836,Action,Walt Disney,24,5 wins & 16 nominations.,67.0,7.3,72%,R,Tony Scott,132 min,USA,
383,403,Sherlock Holmes: A Game of Shadows,Sherlock Holmes A Game of Shadows,2011-12-16,2011,12,214435626,186848418,Action,Warner Bros.,25,3 wins & 11 nominations.,48.0,7.5,60%,PG-13,Guy Ritchie,129 min,"USA, UK",
384,404,22 Jump Street,22 Jump Street,2014-06-13,2014,6,213777619,191719337,Comedy,Sony Pictures,25,7 wins & 24 nominations.,71.0,7.0,85%,R,"Phil Lord, Christopher Miller",112 min,USA,
385,405,Solo: A Star Wars Story,Solo A Star Wars Story,2018-05-25,2018,5,213767512,213767512,Adventure,Walt Disney,25,Nominated for 1 Oscar. Another 4 wins & 22 nominations.,62.0,6.9,70%,PG-13,Ron Howard,135 min,USA,
386,406,Venom,Venom,2018-10-05,2018,10,213511408,213511408,Action,Sony Pictures,25,3 wins & 9 nominations.,35.0,6.7,30%,PG-13,Ruben Fleischer,112 min,"China, USA",
387,407,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,2014-08-08,2014,8,213203826,191204754,Adventure,Paramount Pictures,25,1 win & 10 nominations.,31.0,5.8,21%,PG-13,Jonathan Liebesman,101 min,USA,
388,408,Batman & Robin,Batman & Robin,1997-06-20,1997,6,213013618,107325195,Action,Warner Bros.,24,10 wins & 22 nominations.,28.0,3.7,11%,PG-13,Joel Schumacher,125 min,"USA, UK",
389,409,Coco,Coco,2017-11-22,2017,11,212532784,209726015,Musical,Walt Disney,25,Won 2 Oscars. Another 108 wins & 37 nominations.,81.0,8.4,97%,PG,"Lee Unkrich, Adrian Molina(co-director)",105 min,USA,
390,410,"I, Robot","I, Robot",2004-07-16,2004,7,212421468,144801023,Action,20th Century Fox,25,Nominated for 1 Oscar. Another 1 win & 13 nominations.,59.0,7.1,59/100,PG-13,Alex Proyas,115 min,"USA, Germany",
391,411,Erin Brockovich,Erin Brockovich,2000-03-17,2000,3,212198237,125548685,Drama,Universal,24,Won 1 Oscar. Another 32 wins & 59 nominations.,73.0,7.3,84%,R,Steven Soderbergh,131 min,USA,
392,412,When Harry Met Sally…,When Harry Met Sally…,1989-07-14,1989,7,211912083,92823546,Romantic Comedy,Columbia,23,Nominated for 1 Oscar. Another 4 wins & 16 nominations.,76.0,7.6,90%,R,Rob Reiner,95 min,USA,
393,413,It: Chapter Two,It Chapter Two,2019-09-06,2019,9,211593228,211593228,Horror,Warner Bros.,25,5 wins & 18 nominations.,58.0,6.6,63%,R,Andy Muschietti,169 min,"Canada, USA",
394,414,Charlie's Angels,Charlie's Angels,2000-11-03,2000,11,211585489,125305545,Action,Sony Pictures,24,15 wins & 30 nominations.,52.0,5.5,68%,PG-13,McG,98 min,"USA, Germany",
395,415,Lara Croft: Tomb Raider,Lara Croft Tomb Raider,2001-06-15,2001,6,211081889,131144183,Adventure,Paramount Pictures,25,4 wins & 17 nominations.,33.0,5.8,20%,PG-13,Simon West,100 min,"USA, UK, Japan, Germany",
396,416,Mission: Impossible—Rogue Nation,Mission Impossible—Rogue Nation,2015-07-31,2015,7,210775328,195042377,Action,Paramount Pictures,25,6 wins & 24 nominations.,75.0,7.4,93%,PG-13,Christopher McQuarrie,131 min,"USA, China, Hong Kong, Austria, UK, Morocco",
397,417,The Matrix Revolutions,The Matrix Revolutions,2003-11-05,2003,11,210364859,139270910,Action,Warner Bros.,25,5 wins & 35 nominations.,47.0,6.8,35%,R,"Lana Wachowski, Lilly Wachowski",129 min,USA,
398,418,Casper,Casper,1995-05-26,1995,5,210112603,100328194,Comedy,Universal,24,4 wins & 5 nominations.,49.0,6.1,47%,PG,Brad Silberling,100 min,USA,
399,419,The Croods,The Croods,2013-03-22,2013,3,209729928,187168425,Adventure,20th Century Fox,25,Nominated for 1 Oscar. Another 5 wins & 45 nominations.,55.0,7.2,71%,PG,"Kirk DeMicco, Chris Sanders",98 min,USA,
400,420,Interstellar,Interstellar,2014-11-05,2014,11,209470922,188017894,Adventure,Paramount Pictures,25,Won 1 Oscar. Another 43 wins & 147 nominations.,74.0,8.6,72%,PG-13,Christopher Nolan,169 min,"USA, UK, Canada",
401,421,Die Hard: With a Vengeance,Die Hard With a Vengeance,1995-05-19,1995,5,209451463,100012499,Action,20th Century Fox,24,2 wins & 3 nominations.,58.0,7.6,57%,R,John McTiernan,128 min,USA,
402,422,Bad Boys II,Bad Boys II,2003-07-18,2003,7,209304691,138540870,Action,Sony Pictures,25,5 wins & 13 nominations.,38.0,6.6,23%,R,Michael Bay,147 min,USA,
403,423,Se7en,Se7en,1995-09-22,1995,9,209256846,100125643,Thriller/Suspense,New Line,24,Nominated for 1 Oscar. Another 29 wins & 40 nominations.,65.0,8.6,81%,R,David Fincher,127 min,USA,
404,424,Aliens,Aliens,1986-07-18,1986,7,209113163,85160248,Action,20th Century Fox,23,Won 2 Oscars. Another 18 wins & 23 nominations.,84.0,8.3,97%,R,James Cameron,137 min,"USA, UK",
405,425,Double Jeopardy,Double Jeopardy,1999-09-24,1999,9,209063313,116735231,Action,Paramount Pictures,23,1 win & 3 nominations.,40.0,6.5,27%,R,Bruce Beresford,105 min,"USA, Germany, Canada",
406,426,Jumanji,Jumanji,1995-12-15,1995,12,208971867,100458310,Adventure,Sony Pictures,24,5 wins & 14 nominations.,58.0,6.9,76%,PG-13,Jake Kasdan,119 min,"USA, India, Canada, UK, Australia, Germany",
407,427,George Of The Jungle,George Of The Jungle,1997-07-16,1997,7,208921188,105263257,Adventure,Walt Disney,24,1 win & 3 nominations.,53.0,5.5,57%,PG,Sam Weisman,92 min,USA,
408,428,Eraser,Eraser,1996-06-21,1996,6,208778853,101295562,Action,Warner Bros.,24,Nominated for 1 Oscar. Another 3 wins & 1 nomination.,56.0,6.1,37%,R,Chuck Russell,115 min,USA,
409,429,Nutty Professor II: The Klumps,Nutty Professor II The Klumps,2000-07-28,2000,7,208411010,123307945,Comedy,Universal,24,2 wins & 15 nominations.,38.0,4.4,26%,PG-13,Peter Segal,106 min,USA,
410,430,Notting Hill,Notting Hill,1999-05-28,1999,5,208184435,116089678,Romantic Comedy,Universal,23,Nominated for 3 Golden Globes. Another 11 wins & 14 nominations.,68.0,7.1,83%,PG-13,Roger Michell,124 min,"UK, USA",
411,431,Thor,Thor,2011-05-06,2011,5,207968346,181030624,Action,Paramount Pictures,25,5 wins & 30 nominations.,57.0,7.0,77%,PG-13,Kenneth Branagh,115 min,USA,
