Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country
Cannonball Run II,Cannonball Run II,1984-06-29,1984,6,76187795,28100000,Comedy,Warner Bros.,23,1 win & 8 nominations.,13,5.1,13%,PG,"Hal Needham, Ralph Bakshi",108 min,"USA, Hong Kong"
My Bodyguard,My Bodyguard,1980-07-11,1980,7,76141143,22482952,Comedy,20th Century Fox,22,1 win & 2 nominations.,67,7.1,84%,PG,Tony Bill,102 min,USA
Fletch Lives,Fletch Lives,1989-03-17,1989,3,75955153,33266859,Comedy,Universal,23,N/A,40,6.1,37%,PG,Michael Ritchie,95 min,USA
Murphy's Romance,Murphy's Romance,1985-12-25,1985,12,75945160,30762621,Romantic Comedy,Sony Pictures,23,Nominated for 2 Oscars. Another 2 nominations.,N/A,7.0,73%,PG-13,Martin Ritt,107 min,USA
Mermaids,Mermaids,1990-12-14,1990,12,75877737,35140500,Comedy,Orion Pictures,23,Nominated for 1 Golden Globe. Another 4 wins.,56,6.7,73%,PG-13,Richard Benjamin,110 min,USA
*batteries not included,*batteries not included,1987-12-18,1987,12,75846307,32945797,Comedy,Universal,23,2 wins & 1 nomination.,54,6.7,63%,PG,Matthew Robbins,106 min,USA
Freddy’s Dead: The Final Nightmare,Freddy’s Dead The Final Nightmare,1991-09-13,1991,9,75459433,34872033,Horror,New Line,23,1 win & 4 nominations.,39,4.9,20%,R,Rachel Talalay,89 min,USA
White Fang,White Fang,1991-01-18,1991,1,75150121,34729091,Adventure,Walt Disney,23,1 win.,62,6.7,65%,PG,Randal Kleiser,107 min,USA
Teachers,Teachers,1984-10-05,1984,10,75103268,27700000,Drama,MGM/UA Classics,23,N/A,39,6.1,67%,R,Arthur Hiller,107 min,USA
The Lost Boys,The Lost Boys,1987-07-31,1987,7,75076102,32222567,Horror,Warner Bros.,23,3 wins & 5 nominations.,63,7.3,76%,R,Joel Schumacher,97 min,USA
In Search of Historic Jesus,In Search of Historic Jesus,1980-01-01,1980,1,74505570,22000000,,Sunn Classics Pictures,22,N/A,N/A,4.7,,,,,
The Doors,The Doors,1991-03-01,1991,3,74474551,34416893,Drama,Sony Pictures,23,3 nominations.,62,7.2,57%,R,Oliver Stone,140 min,"USA, France"
The Outsiders,The Outsiders,1983-03-25,1983,3,74319225,25697647,Drama,Warner Bros.,23,1 win & 3 nominations.,41,7.1,63%,PG,Francis Ford Coppola,91 min,"USA, France"
Set It Off,Set It Off,1996-11-06,1996,11,74192660,36049108,Drama,New Line,24,5 wins & 6 nominations.,N/A,6.9,67%,R,F. Gary Gray,123 min,USA
Annabelle Comes Home,Annabelle Comes Home,2019-06-26,2019,6,74152594,74152591,Horror,Warner Bros.,25,2 nominations.,53,5.9,65%,R,Gary Dauberman,106 min,USA
The French Lieutenant's Woman,The French Lieutenant's Woman,1981-09-18,1981,9,74059709,22600000,Drama,United Artists,23,Nominated for 5 Oscars. Another 9 wins & 15 nominations.,64,7.0,78%,R,Karel Reisz,124 min,UK
Child's Play,Child's Play,1988-11-09,1988,11,73988742,33244684,Horror,United Artists,23,2 wins & 3 nominations.,58,6.6,71%,R,Tom Holland,87 min,USA
The Accidental Tourist,The Accidental Tourist,1988-12-23,1988,12,73931394,32632000,Drama,Warner Bros.,23,Won 1 Oscar. Another 3 wins & 11 nominations.,53,6.8,81%,PG,Lawrence Kasdan,121 min,USA
Dune,Dune,1984-12-14,1984,12,73899127,27447471,Action,Universal,23,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,40,6.5,52%,PG-13,David Lynch,137 min,"USA, Mexico"
Can’t Buy Me Love,Can’t Buy Me Love,1987-08-14,1987,8,73681097,31623833,Romantic Comedy,Walt Disney,23,,,,,,,,
Yesterday,Yesterday,2019-06-28,2019,6,73286652,73286650,Drama,Universal,25,1 win & 15 nominations.,55,6.8,63%,PG-13,Danny Boyle,116 min,"UK, Russia, Japan, USA"
Tyler Perry’s A Madea Family Funeral,Tyler Perry’s A Madea Family Funeral,2019-03-01,2019,3,73257045,73257045,Comedy,Lionsgate,25,,,,,,,,
Sophie's Choice,Sophie's Choice,1982-12-10,1982,12,73198668,25215547,Drama,Universal,23,Won 1 Oscar. Another 12 wins & 12 nominations.,68,7.6,78%,R,Alan J. Pakula,150 min,"UK, USA"
Zombieland: Double Tap,Zombieland Double Tap,2019-10-18,2019,10,73118130,73118130,Comedy,Sony Pictures,25,3 nominations.,55,6.7,68%,R,Ruben Fleischer,99 min,USA
The Princess Bride,The Princess Bride,1987-09-25,1987,9,71894435,30857000,Adventure,20th Century Fox,23,Nominated for 1 Oscar. Another 7 wins & 8 nominations.,77,8.1,97%,PG,Rob Reiner,98 min,USA
